date,count
2016-11-29,4
2016-11-30,1
2016-12-01,3
2016-12-02,3
2016-12-03,1
2016-12-04,2
2016-12-06,4
2016-12-07,5
2016-12-08,1
2016-12-09,3
2016-12-10,2
2016-12-11,5
2016-12-12,3
2016-12-13,2
2016-12-15,1
2016-12-16,1
2016-12-17,3
2016-12-18,3
2016-12-19,1
2016-12-20,3
2016-12-21,8
2016-12-22,1
2016-12-23,3
2016-12-24,4
2016-12-25,4
2016-12-27,4
2016-12-28,1
2016-12-29,1
2016-12-30,3
2016-12-31,3
