date,count
2017-01-01,6
2017-01-02,0
2017-01-03,2
2017-01-04,4
2017-01-05,2
2017-01-06,2
2017-01-07,6
2017-01-08,1
2017-01-09,2
2017-01-10,2
2017-01-11,3
2017-01-12,3
2017-01-13,1
2017-01-14,2
2017-01-15,4
2017-01-16,3
2017-01-17,2
2017-01-18,6
2017-01-19,3
2017-01-20,1
2017-01-21,2
2017-01-22,3
2017-01-23,5
2017-01-24,8
2017-01-25,3
2017-01-26,4
2017-01-27,1
2017-01-28,4
2017-01-29,2
2017-01-30,4
2017-01-31,1
2017-02-01,2
2017-02-02,3
2017-02-03,7
2017-02-04,3
2017-02-05,3
2017-02-06,3
2017-02-07,5
2017-02-08,3
2017-02-09,4
2017-02-10,8
2017-02-11,4
2017-02-12,3
2017-02-13,3
2017-02-14,3
2017-02-15,3
2017-02-16,4
2017-02-17,4
2017-02-18,2
2017-02-19,4
2017-02-20,2
2017-02-21,5
2017-02-22,3
2017-02-23,5
2017-02-24,3
2017-02-25,2
2017-02-26,4
2017-02-27,2
2017-02-28,3
2017-03-01,1
2017-03-02,5
2017-03-03,2
2017-03-04,4
2017-03-07,2
2017-03-08,3
2017-03-09,2
2017-03-10,1
2017-03-11,2
2017-03-12,2
2017-03-13,3
2017-03-14,5
2017-03-15,2
2017-03-16,5
2017-03-17,3
2017-03-18,3
2017-03-19,5
2017-03-22,3
2017-03-23,3
2017-03-24,3
2017-03-25,1
2017-03-26,4
2017-03-27,3
2017-03-28,2
2017-03-29,6
2017-03-30,1
2017-04-01,2
2017-04-03,1
2017-04-04,3
2017-04-05,2
2017-04-06,5
2017-04-07,1
2017-04-08,1
2017-04-09,2
2017-04-10,2
2017-04-12,1
2017-04-13,3
2017-04-14,3
2017-04-15,4
2017-04-16,1
2017-04-17,1
2017-04-18,1
2017-04-19,1
2017-04-20,6
2017-04-21,1
2017-04-22,3
2017-04-23,1
2017-04-24,4
2017-04-25,4
2017-04-26,3
2017-04-27,2
2017-04-28,2
2017-04-29,4
2017-04-30,3
2017-05-01,1
2017-05-02,2
2017-05-03,5
2017-05-04,1
2017-05-06,1
2017-05-07,4
2017-05-08,2
2017-05-09,6
2017-05-10,3
2017-05-11,1
2017-05-12,4
2017-05-13,2
2017-05-14,2
2017-05-15,6
2017-05-16,4
2017-05-17,1
2017-05-20,3
2017-05-21,4
2017-05-22,1
2017-05-23,4
2017-05-24,2
2017-05-25,1
2017-05-26,3
2017-05-27,2
2017-05-28,3
2017-05-29,3
2017-05-30,1
2017-05-31,2
2017-06-01,1
2017-06-02,6
2017-06-03,1
2017-06-04,2
2017-06-05,4
2017-06-06,2
2017-06-07,4
2017-06-08,5
2017-06-09,3
2017-06-10,3
2017-06-11,1
2017-06-12,4
2017-06-13,4
2017-06-14,3
2017-06-15,1
2017-06-16,5
2017-06-17,2
2017-06-18,2
2017-06-19,2
2017-06-20,5
2017-06-21,2
2017-06-22,1
2017-06-23,2
2017-06-24,4
2017-06-25,4
2017-06-26,1
2017-06-27,1
2017-06-28,2
2017-06-29,4
2017-06-30,3
2017-07-01,3
2017-07-02,1
2017-07-03,4
2017-07-04,6
2017-07-05,6
2017-07-06,2
2017-07-07,3
2017-07-08,3
2017-07-09,4
2017-07-10,2
2017-07-11,5
2017-07-12,3
2017-07-13,3
2017-07-14,1
2017-07-15,4
2017-07-17,4
2017-07-18,3
2017-07-19,3
2017-07-20,2
2017-07-21,2
2017-07-23,4
2017-07-24,1
2017-07-25,4
2017-07-26,4
2017-07-27,5
2017-07-28,3
2017-07-29,1
2017-07-31,2
